2021-06-20T23:36:50.636Z [AUDIT] Token created by 'anonymous': tokenId='a116105b-ba1f-4a33-bfb7-4226b7ae0e94', issuer='jfrou@01f8nwh7v6t8742tsjn8gp75aj', subject='jfrou@01f8nwh7v6t8742tsjn8gp75aj', expiry=none, refreshable=false
2021-06-20T23:36:53.837Z [AUDIT] Token created by 'jfevt@01f8nwh1yrag8q1qnmzprd126q': tokenId='0b2f08bc-827e-410a-8e13-f26627001ad2', issuer='jfevt@01f8nwh1yrag8q1qnmzprd126q', subject='jfevt@01f8nwh1yrag8q1qnmzprd126q', expiry=1624318613798, refreshable=true
2021-06-20T23:37:03.239Z [AUDIT] Token created by 'anonymous': tokenId='27bd735e-bfde-46ca-b13e-bf8dccc5d580', issuer='jfrt@01f8nwhqzx1mr613fq7fnd0yns', subject='jfrt@01f8nwhqzx1mr613fq7fnd0yns', expiry=none, refreshable=false
2021-06-20T23:37:06.985Z [AUDIT] Token created by 'jfrt@01f8nwhqzx1mr613fq7fnd0yns': tokenId='70473228-0b8e-4970-9d1d-824caad124d5', issuer='jfrt@01f8nwhqzx1mr613fq7fnd0yns', subject='jfrt@01f8nwhqzx1mr613fq7fnd0yns', expiry=2570312226983, refreshable=false
2021-06-20T23:37:08.043Z [AUDIT] Token created by 'jfrt@01f8nwhqzx1mr613fq7fnd0yns': tokenId='6e17f3b6-58e0-4b47-875b-3a35b5be636d', issuer='jfrt@01f8nwhqzx1mr613fq7fnd0yns/users/_system_', subject='jfrt@01f8nwhqzx1mr613fq7fnd0yns/users/_system_', expiry=none, refreshable=false
2021-06-20T23:37:15.809Z [AUDIT] Token created by 'anonymous': tokenId='a9b86b01-7a0e-4844-9de7-ea27741ab26f', issuer='jffe@000', subject='jffe@000', expiry=none, refreshable=false
2021-06-20T23:37:15.894Z [AUDIT] Token created by 'jffe@000': tokenId='723d7675-79f2-4921-827b-42e5f757c9d8', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1624232835894, refreshable=false
2021-06-20T23:37:36.679Z [AUDIT] Token created by 'jffe@000': tokenId='4e4f0c38-54c6-4c0d-b3ca-ca1bdd3ff53d', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1624232856679, refreshable=false
2021-06-20T23:37:36.721Z [AUDIT] Token created by 'jffe@000': tokenId='47780e7a-2274-4ad6-8804-1d8bf5015728', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1624232856721, refreshable=false
2021-06-20T23:37:36.721Z [AUDIT] Token created by 'jffe@000': tokenId='9b8a23f9-e497-4fde-9999-4d4773386088', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1624232856721, refreshable=false
2021-06-20T23:40:26.048Z [AUDIT] Token created by 'jffe@000': tokenId='30625551-0964-458f-ad15-6512df9b95e4', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1624234226046, refreshable=true
2021-06-20T23:40:26.194Z [AUDIT] Token created by 'jffe@000': tokenId='6b1ac852-d300-43f0-b844-9319ca2a33ba', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1624233026194, refreshable=false
2021-06-20T23:40:26.205Z [AUDIT] Token created by 'jffe@000': tokenId='b013bbaa-60cb-4cfa-8002-7fbb7a6dd38f', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1624233026205, refreshable=false
2021-06-20T23:40:26.207Z [AUDIT] Token created by 'jffe@000': tokenId='262bcb9d-154b-43ac-975b-394ca47d3290', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1624233026207, refreshable=false
2021-06-20T23:45:01.137Z [AUDIT] Token created by 'jffe@000': tokenId='0c20fe0c-e487-47c6-8efc-a7cac45a964d', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1624233301137, refreshable=false
2021-06-20T23:45:26.151Z [AUDIT] Token refreshed by 'jffe@000': oldTokenId='30625551-0964-458f-ad15-6512df9b95e4', tokenId='e365e48e-9f5a-449f-bb36-91ed0f102b50', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1624234526145, refreshable=true
2021-06-20T23:46:47.467Z [AUDIT] Token created by 'jffe@000': tokenId='0fa5f353-baf4-491d-80ab-3270afe940bd', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1624234607465, refreshable=true
2021-06-20T23:46:47.564Z [AUDIT] Token created by 'jffe@000': tokenId='6479b4d8-6857-4a04-a6ff-7ab1ac16c9cd', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1624233407563, refreshable=false
2021-06-20T23:46:47.564Z [AUDIT] Token created by 'jffe@000': tokenId='b3915ca7-9acd-4b8d-9623-ff2111792575', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1624233407563, refreshable=false
2021-06-20T23:46:47.569Z [AUDIT] Token created by 'jffe@000': tokenId='c8a42b62-8418-44db-9d1a-56bc75d3b89b', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1624233407569, refreshable=false
2021-06-20T23:46:48.031Z [AUDIT] Token created by 'jffe@000': tokenId='66d0ebda-42b8-47d2-bfbe-ca7998ab589c', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1624233408030, refreshable=false
2021-06-20T23:46:51.030Z [AUDIT] Token created by 'jffe@000': tokenId='ea8f45c4-806e-4828-95b2-3e8bc5f88d31', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1624233411030, refreshable=false
2021-06-20T23:47:18.371Z [AUDIT] Token created by 'jffe@000': tokenId='edfcd7a4-2ae9-411f-9719-7eea4a770cf3', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1624233438371, refreshable=false
2021-06-20T23:47:18.371Z [AUDIT] Token created by 'jffe@000': tokenId='f1ddb9f3-294d-4327-854b-d42ca21177e1', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1624233438371, refreshable=false
2021-06-20T23:47:18.372Z [AUDIT] Token created by 'jffe@000': tokenId='55611315-c5a9-447a-9718-46a6bb59dfdb', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1624233438372, refreshable=false
2021-06-20T23:56:32.766Z [AUDIT] Token refreshed by 'jffe@000': oldTokenId='0fa5f353-baf4-491d-80ab-3270afe940bd', tokenId='e118ec75-9e7c-4651-abf4-0e1762c952ed', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1624235192755, refreshable=true
2021-06-20T23:56:47.829Z [AUDIT] Token created by 'jffe@000': tokenId='2a81559f-301e-4418-8331-76ecd928a13f', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1624234007828, refreshable=false
2021-06-20T23:57:18.452Z [AUDIT] Token created by 'jffe@000': tokenId='14bd0ec8-843d-4166-aca7-3d24adcf0277', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1624234038452, refreshable=false
2021-06-20T23:57:18.452Z [AUDIT] Token created by 'jffe@000': tokenId='db3f241b-28e6-47fb-90df-45f7c5ac8322', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1624234038452, refreshable=false
2021-06-20T23:57:18.461Z [AUDIT] Token created by 'jffe@000': tokenId='75c63dfc-7531-4c8a-b347-53e92763bb9a', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1624234038460, refreshable=false
2021-06-20T23:58:17.981Z [AUDIT] Token created by 'jffe@000': tokenId='a20f260e-414d-4701-998c-d50f56cc4ce7', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1624234097980, refreshable=false
2021-06-21T00:02:12.479Z [AUDIT] Token refreshed by 'jffe@000': oldTokenId='e118ec75-9e7c-4651-abf4-0e1762c952ed', tokenId='617cb22e-c8de-4a81-89a6-54384efce6d1', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1624235532474, refreshable=true
2021-06-21T00:03:18.263Z [AUDIT] Token revoked by 'jffe@000': tokenId='617cb22e-c8de-4a81-89a6-54384efce6d1', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1624235532474, refreshable=true
2021-06-21T00:03:18.407Z [AUDIT] Token created by 'jffe@000': tokenId='edf2933e-1035-4986-8787-ae39be8642ca', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1624234398407, refreshable=false
2021-06-21T00:03:18.407Z [AUDIT] Token created by 'jffe@000': tokenId='b4a78436-21ed-4708-9a63-02c8ec2b6d98', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1624234398407, refreshable=false
2021-06-21T00:03:18.419Z [AUDIT] Token created by 'jffe@000': tokenId='aef9cc2a-4c84-4a81-a537-fdf7034cca6c', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1624234398418, refreshable=false
2021-06-21T00:03:18.430Z [AUDIT] Token created by 'jffe@000': tokenId='6fadd400-1a0d-494f-ac6f-adb7d84283eb', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1624234398429, refreshable=false
2021-06-21T00:03:26.564Z [AUDIT] Token created by 'jffe@000': tokenId='cf339332-2c01-42e3-b907-365f67d4b5ab', issuer='jffe@000', subject='jffe@000/users/maven', expiry=1624235606562, refreshable=true
2021-06-21T00:03:26.630Z [AUDIT] Token created by 'jffe@000': tokenId='5d1bec5e-81f4-437e-a214-1e89787d6f50', issuer='jffe@000', subject='jffe@000/users/maven', expiry=1624234406630, refreshable=false
2021-06-21T00:03:27.021Z [AUDIT] Token created by 'jffe@000': tokenId='6950ec78-3ae6-4896-85a9-749a559a74db', issuer='jffe@000', subject='jffe@000/users/maven', expiry=1624234407021, refreshable=false
2021-06-21T00:03:27.310Z [AUDIT] Token created by 'jffe@000': tokenId='cc370bcf-b684-46f9-9018-0608088663f3', issuer='jffe@000', subject='jffe@000/users/maven', expiry=1624234407310, refreshable=false
2021-06-21T00:03:53.221Z [AUDIT] Token revoked by 'jffe@000': tokenId='cf339332-2c01-42e3-b907-365f67d4b5ab', issuer='jffe@000', subject='jffe@000/users/maven', expiry=1624235606562, refreshable=true
2021-06-21T00:03:58.313Z [AUDIT] Token created by 'jffe@000': tokenId='7f4b30c9-3096-43ea-8158-54b31db45e54', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1624235638311, refreshable=true
2021-06-21T00:03:58.400Z [AUDIT] Token created by 'jffe@000': tokenId='796fa70f-ad4b-41c8-af8d-a1e4f38e4844', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1624234438400, refreshable=false
2021-06-21T00:03:58.400Z [AUDIT] Token created by 'jffe@000': tokenId='3e64c13d-a069-4f68-9020-7141ebb20af9', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1624234438400, refreshable=false
2021-06-21T00:03:58.408Z [AUDIT] Token created by 'jffe@000': tokenId='b5f5f4fc-b704-46a7-82df-657e1f913a92', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1624234438407, refreshable=false
2021-06-21T00:03:58.864Z [AUDIT] Token created by 'jffe@000': tokenId='61841ca9-82ef-4ce0-a89a-5e1a1d47ae82', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1624234438864, refreshable=false
2021-06-21T00:07:16.932Z [AUDIT] Token revoked by 'jffe@000': tokenId='7f4b30c9-3096-43ea-8158-54b31db45e54', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1624235638311, refreshable=true
2021-06-21T00:07:18.539Z [AUDIT] Token created by 'jffe@000': tokenId='5ed5f96e-c880-4488-bcf7-70aad5cc333f', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1624234638539, refreshable=false
2021-06-21T00:07:18.540Z [AUDIT] Token created by 'jffe@000': tokenId='851ecf55-419c-47e7-9e35-31fa2787df47', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1624234638540, refreshable=false
2021-06-21T00:07:18.539Z [AUDIT] Token created by 'jffe@000': tokenId='d747353d-8b48-460c-aa2a-5c8bf92ebcc1', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1624234638539, refreshable=false
2021-06-21T00:07:26.535Z [AUDIT] Token created by 'jffe@000': tokenId='a25cde15-0083-4239-8a2f-a7020229feb5', issuer='jffe@000', subject='jffe@000/users/maven', expiry=1624235846534, refreshable=true
2021-06-21T00:07:26.613Z [AUDIT] Token created by 'jffe@000': tokenId='45318e0b-548f-4531-b7f3-8e32795e7e29', issuer='jffe@000', subject='jffe@000/users/maven', expiry=1624234646613, refreshable=false
2021-06-21T00:07:26.981Z [AUDIT] Token created by 'jffe@000': tokenId='117270c1-10e8-4c88-a207-3227f811e370', issuer='jffe@000', subject='jffe@000/users/maven', expiry=1624234646981, refreshable=false
2021-06-21T00:07:27.159Z [AUDIT] Token created by 'jffe@000': tokenId='d0ec6c7c-1e5c-49ce-9416-67789b032964', issuer='jffe@000', subject='jffe@000/users/maven', expiry=1624234647159, refreshable=false
2021-06-21T00:09:24.300Z [AUDIT] Token revoked by 'jffe@000': tokenId='a25cde15-0083-4239-8a2f-a7020229feb5', issuer='jffe@000', subject='jffe@000/users/maven', expiry=1624235846534, refreshable=true
2021-06-21T00:09:30.203Z [AUDIT] Token created by 'jffe@000': tokenId='72a1d3b3-3181-41a2-bc05-50f4a3a2659f', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1624235970202, refreshable=true
2021-06-21T00:09:30.282Z [AUDIT] Token created by 'jffe@000': tokenId='35780f94-fd02-4cdc-a11c-52be9334e8af', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1624234770282, refreshable=false
2021-06-21T00:09:30.299Z [AUDIT] Token created by 'jffe@000': tokenId='a1b8e51a-b497-46b6-a337-b4f94c8ae621', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1624234770298, refreshable=false
2021-06-21T00:09:30.307Z [AUDIT] Token created by 'jffe@000': tokenId='e975ef3c-4048-44a3-aaca-5078aa92904a', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1624234770302, refreshable=false
2021-06-21T00:09:30.621Z [AUDIT] Token created by 'jffe@000': tokenId='db276cdb-13f0-45b9-bd1c-27e823b3eb67', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1624234770621, refreshable=false
2021-06-21T00:10:05.024Z [AUDIT] Token revoked by 'jffe@000': tokenId='72a1d3b3-3181-41a2-bc05-50f4a3a2659f', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1624235970202, refreshable=true
2021-06-21T00:10:13.455Z [AUDIT] Token created by 'jffe@000': tokenId='b1950ebf-b275-41b9-94ea-71658861fdb2', issuer='jffe@000', subject='jffe@000/users/maven', expiry=1624236013453, refreshable=true
2021-06-21T00:10:13.528Z [AUDIT] Token created by 'jffe@000': tokenId='c7712d32-3076-4397-8453-3a005ddbf3f2', issuer='jffe@000', subject='jffe@000/users/maven', expiry=1624234813528, refreshable=false
2021-06-21T00:10:13.847Z [AUDIT] Token created by 'jffe@000': tokenId='d0f0f6b7-8d7d-460f-a630-45c167a8cea1', issuer='jffe@000', subject='jffe@000/users/maven', expiry=1624234813847, refreshable=false
2021-06-21T00:10:14.025Z [AUDIT] Token created by 'jffe@000': tokenId='9eb0f452-a9a0-43e6-8302-d98d18da174f', issuer='jffe@000', subject='jffe@000/users/maven', expiry=1624234814025, refreshable=false
2021-06-21T00:10:21.466Z [AUDIT] Token revoked by 'jffe@000': tokenId='b1950ebf-b275-41b9-94ea-71658861fdb2', issuer='jffe@000', subject='jffe@000/users/maven', expiry=1624236013453, refreshable=true
2021-06-21T00:10:27.701Z [AUDIT] Token created by 'jffe@000': tokenId='896e438c-a163-4aac-aa63-40e5fa8b965a', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1624236027699, refreshable=true
2021-06-21T00:10:27.784Z [AUDIT] Token created by 'jffe@000': tokenId='c6177ba1-57c3-413f-ae3f-9d303d55f901', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1624234827784, refreshable=false
2021-06-21T00:10:27.784Z [AUDIT] Token created by 'jffe@000': tokenId='0dbe5f26-608d-4324-98a7-49e0477f85ac', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1624234827784, refreshable=false
2021-06-21T00:10:27.785Z [AUDIT] Token created by 'jffe@000': tokenId='58bdcefe-13c2-4a80-bb19-0586871655aa', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1624234827785, refreshable=false
2021-06-21T00:10:28.167Z [AUDIT] Token created by 'jffe@000': tokenId='8d18f97b-9813-480d-907c-c8a78a987ff2', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1624234828167, refreshable=false
2021-06-21T00:17:18.608Z [AUDIT] Token created by 'jffe@000': tokenId='0305ef0c-5115-4f35-ba86-bc10c40a1517', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1624235238608, refreshable=false
2021-06-21T00:17:18.609Z [AUDIT] Token created by 'jffe@000': tokenId='1ef07774-24cf-492c-a7d8-1c78018c6127', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1624235238609, refreshable=false
2021-06-21T00:17:18.612Z [AUDIT] Token created by 'jffe@000': tokenId='07ec5d78-d486-4d0a-9986-e1dfed00c041', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1624235238612, refreshable=false
2021-06-21T00:20:27.448Z [AUDIT] Token created by 'jffe@000': tokenId='2ec5f4e2-bf8b-4626-997b-aa2c606653a5', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1624235427448, refreshable=false
2021-06-21T00:21:25.690Z [AUDIT] Token refreshed by 'jffe@000': oldTokenId='896e438c-a163-4aac-aa63-40e5fa8b965a', tokenId='069d5641-dbfb-4c99-a167-49fd16082642', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1624236685676, refreshable=true
2021-06-21T00:21:31.157Z [AUDIT] Token created by 'jffe@000': tokenId='ddc7fa53-fe0d-48a6-9445-10d308d1ca8b', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1624235491157, refreshable=false
2021-06-21T00:21:31.396Z [AUDIT] Token created by 'jffe@000': tokenId='b6cc14c2-bd34-427f-a07d-5493b8fc3969', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1624235491395, refreshable=false
