2021-06-20T23:36:50.661Z|babb70b97d1dff6|UNKNOWN|UNKNOWN|anonymous|jfrou@01f8nwh7v6t8742tsjn8gp75aj|C|TKN|{"added":{"owner":"jfrou@01f8nwh7v6t8742tsjn8gp75aj","created":"1624232210583","subject":"jfrou@01f8nwh7v6t8742tsjn8gp75aj","scope":"admin","id":"a116105b-ba1f-4a33-bfb7-4226b7ae0e94","type":"generic"}}
2021-06-20T23:37:05.806Z|39a31d09517204aa|UNKNOWN|_system_|jfrt@01f8nwhqzx1mr613fq7fnd0yns|jfrt@01f8nwhqzx1mr613fq7fnd0yns:514298f2-4372-4aa1-8386-f1b930447c64|C|PRM|{"added":{"customData.includePattern":"**","actions.anonymous(USER):READ":"anonymous(USER):READ","customData.updatedBy":"_system_","displayName":"Anything","actions.readers(GROUP):READ":"readers(GROUP):READ","customData.repoKeys":"[artifactory-build-info]","name":"jfrt@01f8nwhqzx1mr613fq7fnd0yns:514298f2-4372-4aa1-8386-f1b930447c64","customData.excludePattern":"","serviceId":"jfrt@01f8nwhqzx1mr613fq7fnd0yns","resourceType":"BUILD"}}
2021-06-20T23:37:05.849Z|533ffda5871c7aad|UNKNOWN|_system_|jfrt@01f8nwhqzx1mr613fq7fnd0yns|jfrt@01f8nwhqzx1mr613fq7fnd0yns:8ef5cd3b-cd91-4ca5-9562-325fa04ce68c|C|PRM|{"added":{"customData.includePattern":"**","actions.anonymous(USER):READ":"anonymous(USER):READ","customData.updatedBy":"_system_","displayName":"Any Remote","customData.repoKeys":"[ANY REMOTE]","name":"jfrt@01f8nwhqzx1mr613fq7fnd0yns:8ef5cd3b-cd91-4ca5-9562-325fa04ce68c","customData.excludePattern":"","serviceId":"jfrt@01f8nwhqzx1mr613fq7fnd0yns","actions.anonymous(USER):DEPLOY":"anonymous(USER):DEPLOY","resourceType":"REPO"}}
2021-06-20T23:37:06.986Z|43cdbcc4d9f4b624|UNKNOWN|UNKNOWN|jfrt@01f8nwhqzx1mr613fq7fnd0yns|jfrt@01f8nwhqzx1mr613fq7fnd0yns|C|TKN|{"added":{"owner":"jfrt@01f8nwhqzx1mr613fq7fnd0yns","created":"1624232226983","expirationTime":"2570312226983","subject":"jfrt@01f8nwhqzx1mr613fq7fnd0yns","scope":"applied-permissions/admin","id":"70473228-0b8e-4970-9d1d-824caad124d5","type":"generic"}}
2021-06-20T23:37:08.044Z|5cf19c7e40a399c7|UNKNOWN|UNKNOWN|jfrt@01f8nwhqzx1mr613fq7fnd0yns|jfrt@01f8nwhqzx1mr613fq7fnd0yns/users/_system_|C|TKN|{"added":{"owner":"jfrt@01f8nwhqzx1mr613fq7fnd0yns/users/_system_","created":"1624232228041","subject":"jfrt@01f8nwhqzx1mr613fq7fnd0yns/users/_system_","scope":"jfrt@01f8nwhqzx1mr613fq7fnd0yns:admin api:*","id":"6e17f3b6-58e0-4b47-875b-3a35b5be636d","type":"generic","username":"_system_"}}
2021-06-20T23:37:15.811Z|7eaeae111dcb771f|UNKNOWN|UNKNOWN|anonymous|jffe@000|C|TKN|{"added":{"owner":"jffe@000","created":"1624232235800","subject":"jffe@000","scope":"admin","id":"a9b86b01-7a0e-4844-9de7-ea27741ab26f","type":"generic"}}
2021-06-20T23:37:15.895Z|3a68eb556c3fe1fd|UNKNOWN|UNKNOWN|jffe@000|jffe@000/users/jffe@000|C|TKN|{"added":{"owner":"jffe@000","created":"1624232235893","expirationTime":"1624232835894","subject":"jffe@000/users/jffe@000","scope":"applied-permissions/admin api:*","id":"723d7675-79f2-4921-827b-42e5f757c9d8","type":"generic","username":"jffe@000"}}
2021-06-20T23:37:36.681Z|bfed6b7b8860c2e|UNKNOWN|UNKNOWN|jffe@000|jffe@000/users/anonymous|C|TKN|{"added":{"owner":"jffe@000","created":"1624232256678","expirationTime":"1624232856679","subject":"jffe@000/users/anonymous","scope":"applied-permissions/user api:*","id":"4e4f0c38-54c6-4c0d-b3ca-ca1bdd3ff53d","type":"generic","username":"anonymous"}}
2021-06-20T23:37:36.724Z|14931a78019d2402|UNKNOWN|UNKNOWN|jffe@000|jffe@000/users/anonymous|C|TKN|{"added":{"owner":"jffe@000","created":"1624232256720","expirationTime":"1624232856721","subject":"jffe@000/users/anonymous","scope":"applied-permissions/user api:*","id":"9b8a23f9-e497-4fde-9999-4d4773386088","type":"generic","username":"anonymous"}}
2021-06-20T23:37:36.727Z|14931a78019d2402|UNKNOWN|UNKNOWN|jffe@000|jffe@000/users/anonymous|C|TKN|{"added":{"owner":"jffe@000","created":"1624232256720","expirationTime":"1624232856721","subject":"jffe@000/users/anonymous","scope":"applied-permissions/user api:*","id":"47780e7a-2274-4ad6-8804-1d8bf5015728","type":"generic","username":"anonymous"}}
2021-06-20T23:40:26.049Z|1e8955e2356cac17|UNKNOWN|UNKNOWN|jffe@000|jffe@000/users/admin|C|TKN|{"added":{"owner":"jffe@000","created":"1624232426045","expirationTime":"1624234226046","subject":"jffe@000/users/admin","scope":"applied-permissions/user","id":"30625551-0964-458f-ad15-6512df9b95e4","type":"session","username":"admin"}}
2021-06-20T23:40:26.196Z|7052111437848f43|UNKNOWN|UNKNOWN|jffe@000|jffe@000/users/admin|C|TKN|{"added":{"owner":"jffe@000","created":"1624232426194","expirationTime":"1624233026194","subject":"jffe@000/users/admin","scope":"applied-permissions/user api:*","id":"6b1ac852-d300-43f0-b844-9319ca2a33ba","type":"generic","username":"admin"}}
2021-06-20T23:40:26.210Z|a73b706809996a0|UNKNOWN|UNKNOWN|jffe@000|jffe@000/users/admin|C|TKN|{"added":{"owner":"jffe@000","created":"1624232426206","expirationTime":"1624233026207","subject":"jffe@000/users/admin","scope":"applied-permissions/user api:*","id":"262bcb9d-154b-43ac-975b-394ca47d3290","type":"generic","username":"admin"}}
2021-06-20T23:40:26.211Z|7052111437848f43|UNKNOWN|UNKNOWN|jffe@000|jffe@000/users/admin|C|TKN|{"added":{"owner":"jffe@000","created":"1624232426194","expirationTime":"1624233026205","subject":"jffe@000/users/admin","scope":"applied-permissions/user api:*","id":"b013bbaa-60cb-4cfa-8002-7fbb7a6dd38f","type":"generic","username":"admin"}}
2021-06-20T23:45:01.138Z|3d4c39f4c5394e2e|UNKNOWN|UNKNOWN|jffe@000|jffe@000/users/admin|C|TKN|{"added":{"owner":"jffe@000","created":"1624232701137","expirationTime":"1624233301137","subject":"jffe@000/users/admin","scope":"applied-permissions/user","id":"0c20fe0c-e487-47c6-8efc-a7cac45a964d","type":"generic","username":"admin"}}
2021-06-20T23:45:25.970Z|31185714b2263793|192.168.44.1|admin|jfrt@01f8nwhqzx1mr613fq7fnd0yns|admin|U|USR|{"added":{"customData.gen_password_key":"*","customData.private_key":"*","customData.public_key":"*"}}
2021-06-20T23:45:26.153Z|1604d4a80845a67e|UNKNOWN|UNKNOWN|jffe@000|jffe@000/users/admin|D|TKN|{"removed":{"owner":"jffe@000","created":"1624232426045","expirationTime":"1624234226046","subject":"jffe@000/users/admin","scope":"HASHED:69c537d45f36a316ac544a2b6271540eb3e94abefcdbeef93d300f9ccea7c38e","id":"30625551-0964-458f-ad15-6512df9b95e4","type":"session","username":"admin"}}
2021-06-20T23:45:26.155Z|1604d4a80845a67e|UNKNOWN|UNKNOWN|jffe@000|jffe@000/users/admin|C|TKN|{"added":{"owner":"jffe@000","created":"1624232726144","expirationTime":"1624234526145","subject":"jffe@000/users/admin","scope":"applied-permissions/user","id":"e365e48e-9f5a-449f-bb36-91ed0f102b50","type":"session","username":"admin"}}
2021-06-20T23:45:52.872Z|66a5cffc5ed0dc3d|192.168.44.1|admin|jfrt@01f8nwhqzx1mr613fq7fnd0yns|admin|U|USR|{"updated":{"password":{"oldEntry":"*","newEntry":"*"},"email":{"oldEntry":"","newEntry":"panda@email.com"}}}
2021-06-20T23:46:47.468Z|4bc56cd5dfe2c26c|UNKNOWN|UNKNOWN|jffe@000|jffe@000/users/admin|C|TKN|{"added":{"owner":"jffe@000","created":"1624232807465","expirationTime":"1624234607465","subject":"jffe@000/users/admin","scope":"applied-permissions/user","id":"0fa5f353-baf4-491d-80ab-3270afe940bd","type":"session","username":"admin"}}
2021-06-20T23:46:47.565Z|741ea863f5e484d1|UNKNOWN|UNKNOWN|jffe@000|jffe@000/users/admin|C|TKN|{"added":{"owner":"jffe@000","created":"1624232807563","expirationTime":"1624233407563","subject":"jffe@000/users/admin","scope":"applied-permissions/user api:*","id":"6479b4d8-6857-4a04-a6ff-7ab1ac16c9cd","type":"generic","username":"admin"}}
2021-06-20T23:46:47.570Z|7b96a1f560b8cf4a|UNKNOWN|UNKNOWN|jffe@000|jffe@000/users/admin|C|TKN|{"added":{"owner":"jffe@000","created":"1624232807568","expirationTime":"1624233407569","subject":"jffe@000/users/admin","scope":"applied-permissions/user api:*","id":"c8a42b62-8418-44db-9d1a-56bc75d3b89b","type":"generic","username":"admin"}}
2021-06-20T23:46:47.571Z|7b96a1f560b8cf4a|UNKNOWN|UNKNOWN|jffe@000|jffe@000/users/admin|C|TKN|{"added":{"owner":"jffe@000","created":"1624232807563","expirationTime":"1624233407563","subject":"jffe@000/users/admin","scope":"applied-permissions/user api:*","id":"b3915ca7-9acd-4b8d-9623-ff2111792575","type":"generic","username":"admin"}}
2021-06-20T23:46:48.034Z|c891f7bd95b47ef|UNKNOWN|UNKNOWN|jffe@000|jffe@000/users/admin|C|TKN|{"added":{"owner":"jffe@000","created":"1624232808030","expirationTime":"1624233408030","subject":"jffe@000/users/admin","scope":"applied-permissions/user","id":"66d0ebda-42b8-47d2-bfbe-ca7998ab589c","type":"generic","username":"admin"}}
2021-06-20T23:46:51.033Z|2c1abe7f3f581813|UNKNOWN|UNKNOWN|jffe@000|jffe@000/users/admin|C|TKN|{"added":{"owner":"jffe@000","created":"1624232811030","expirationTime":"1624233411030","subject":"jffe@000/users/admin","scope":"applied-permissions/user","id":"ea8f45c4-806e-4828-95b2-3e8bc5f88d31","type":"generic","username":"admin"}}
2021-06-20T23:47:18.377Z|7ee5122aeb31eba7|UNKNOWN|UNKNOWN|jffe@000|jffe@000/users/jffe@000|C|TKN|{"added":{"owner":"jffe@000","created":"1624232838370","expirationTime":"1624233438371","subject":"jffe@000/users/jffe@000","scope":"applied-permissions/admin api:*","id":"f1ddb9f3-294d-4327-854b-d42ca21177e1","type":"generic","username":"jffe@000"}}
2021-06-20T23:47:18.380Z|2e1512b218a40147|UNKNOWN|UNKNOWN|jffe@000|jffe@000/users/jffe@000|C|TKN|{"added":{"owner":"jffe@000","created":"1624232838370","expirationTime":"1624233438371","subject":"jffe@000/users/jffe@000","scope":"applied-permissions/admin api:*","id":"edfcd7a4-2ae9-411f-9719-7eea4a770cf3","type":"generic","username":"jffe@000"}}
2021-06-20T23:47:18.380Z|791fdab9aa0a570d|UNKNOWN|UNKNOWN|jffe@000|jffe@000/users/jffe@000|C|TKN|{"added":{"owner":"jffe@000","created":"1624232838371","expirationTime":"1624233438372","subject":"jffe@000/users/jffe@000","scope":"applied-permissions/admin api:*","id":"55611315-c5a9-447a-9718-46a6bb59dfdb","type":"generic","username":"jffe@000"}}
2021-06-20T23:56:32.768Z|1d4b07cd76934a6e|UNKNOWN|UNKNOWN|jffe@000|jffe@000/users/admin|D|TKN|{"removed":{"owner":"jffe@000","created":"1624232807465","expirationTime":"1624234607465","subject":"jffe@000/users/admin","scope":"HASHED:69c537d45f36a316ac544a2b6271540eb3e94abefcdbeef93d300f9ccea7c38e","id":"0fa5f353-baf4-491d-80ab-3270afe940bd","type":"session","username":"admin"}}
2021-06-20T23:56:32.768Z|1d4b07cd76934a6e|UNKNOWN|UNKNOWN|jffe@000|jffe@000/users/admin|C|TKN|{"added":{"owner":"jffe@000","created":"1624233392755","expirationTime":"1624235192755","subject":"jffe@000/users/admin","scope":"applied-permissions/user","id":"e118ec75-9e7c-4651-abf4-0e1762c952ed","type":"session","username":"admin"}}
2021-06-20T23:56:47.830Z|7e58409ea85db85f|UNKNOWN|UNKNOWN|jffe@000|jffe@000/users/admin|C|TKN|{"added":{"owner":"jffe@000","created":"1624233407828","expirationTime":"1624234007828","subject":"jffe@000/users/admin","scope":"applied-permissions/user api:*","id":"2a81559f-301e-4418-8331-76ecd928a13f","type":"generic","username":"admin"}}
2021-06-20T23:57:18.460Z|2230697ad6a91ef8|UNKNOWN|UNKNOWN|jffe@000|jffe@000/users/jffe@000|C|TKN|{"added":{"owner":"jffe@000","created":"1624233438451","expirationTime":"1624234038452","subject":"jffe@000/users/jffe@000","scope":"applied-permissions/admin api:*","id":"db3f241b-28e6-47fb-90df-45f7c5ac8322","type":"generic","username":"jffe@000"}}
2021-06-20T23:57:18.463Z|288915f6cf881563|UNKNOWN|UNKNOWN|jffe@000|jffe@000/users/jffe@000|C|TKN|{"added":{"owner":"jffe@000","created":"1624233438451","expirationTime":"1624234038452","subject":"jffe@000/users/jffe@000","scope":"applied-permissions/admin api:*","id":"14bd0ec8-843d-4166-aca7-3d24adcf0277","type":"generic","username":"jffe@000"}}
2021-06-20T23:57:18.469Z|6886a64b8510f520|UNKNOWN|UNKNOWN|jffe@000|jffe@000/users/jffe@000|C|TKN|{"added":{"owner":"jffe@000","created":"1624233438460","expirationTime":"1624234038460","subject":"jffe@000/users/jffe@000","scope":"applied-permissions/admin api:*","id":"75c63dfc-7531-4c8a-b347-53e92763bb9a","type":"generic","username":"jffe@000"}}
2021-06-20T23:58:17.983Z|5f7c955f1caab08c|UNKNOWN|UNKNOWN|jffe@000|jffe@000/users/admin|C|TKN|{"added":{"owner":"jffe@000","created":"1624233497980","expirationTime":"1624234097980","subject":"jffe@000/users/admin","scope":"applied-permissions/user","id":"a20f260e-414d-4701-998c-d50f56cc4ce7","type":"generic","username":"admin"}}
2021-06-20T23:59:54.574Z|1f281ab4ae6c1d3e|192.168.44.1|admin|jfrt@01f8nwhqzx1mr613fq7fnd0yns|MavenOnlyGroup|C|GRP|{"added":{"name":"MavenOnlyGroup","realm":"internal"}}
2021-06-21T00:02:12.480Z|476ce3a67215bc2f|UNKNOWN|UNKNOWN|jffe@000|jffe@000/users/admin|D|TKN|{"removed":{"owner":"jffe@000","created":"1624233392755","expirationTime":"1624235192755","subject":"jffe@000/users/admin","scope":"HASHED:69c537d45f36a316ac544a2b6271540eb3e94abefcdbeef93d300f9ccea7c38e","id":"e118ec75-9e7c-4651-abf4-0e1762c952ed","type":"session","username":"admin"}}
2021-06-21T00:02:12.481Z|476ce3a67215bc2f|UNKNOWN|UNKNOWN|jffe@000|jffe@000/users/admin|C|TKN|{"added":{"owner":"jffe@000","created":"1624233732473","expirationTime":"1624235532474","subject":"jffe@000/users/admin","scope":"applied-permissions/user","id":"617cb22e-c8de-4a81-89a6-54384efce6d1","type":"session","username":"admin"}}
2021-06-21T00:02:12.549Z|476ce3a67215bc2f|UNKNOWN|UNKNOWN|admin|jfac@01f8nwh1yrag8q1qnmzprd126q:5bc383ff-c1ff-40f8-9e80-d30478e185a6|C|PRM|{"added":{"customData.includePattern":"**","actions.MavenOnlyGroup(GROUP):READ":"MavenOnlyGroup(GROUP):READ","displayName":"MavenOnlyPerm","customData.repoKeys":"[libs-release-local, libs-snapshot-local]","name":"jfac@01f8nwh1yrag8q1qnmzprd126q:5bc383ff-c1ff-40f8-9e80-d30478e185a6","customData.excludePattern":"","serviceId":"jfac@01f8nwh1yrag8q1qnmzprd126q","resourceType":"REPO"}}
2021-06-21T00:03:01.470Z|64c5d4cbcdfb59b2|192.168.44.1|admin|jfrt@01f8nwhqzx1mr613fq7fnd0yns|maven|C|USR|{"added":{"customData.updatable_profile":"true","password":"*","groups.readers":"UserGroupImpl(name=readers, realm=internal)","realm":"internal","email":"maven@email.com","groups.MavenOnlyGroup":"UserGroupImpl(name=MavenOnlyGroup, realm=internal)","status":"enabled","username":"maven"}}
2021-06-21T00:03:18.265Z|2a08e56fdf303977|UNKNOWN|UNKNOWN|jffe@000|jffe@000/users/admin|D|TKN|{"removed":{"owner":"jffe@000","created":"1624233732473","expirationTime":"1624235532474","subject":"jffe@000/users/admin","scope":"HASHED:69c537d45f36a316ac544a2b6271540eb3e94abefcdbeef93d300f9ccea7c38e","id":"617cb22e-c8de-4a81-89a6-54384efce6d1","type":"session","username":"admin"}}
2021-06-21T00:03:18.408Z|2473deff337f069e|UNKNOWN|UNKNOWN|jffe@000|jffe@000/users/anonymous|C|TKN|{"added":{"owner":"jffe@000","created":"1624233798407","expirationTime":"1624234398407","subject":"jffe@000/users/anonymous","scope":"applied-permissions/user api:*","id":"edf2933e-1035-4986-8787-ae39be8642ca","type":"generic","username":"anonymous"}}
2021-06-21T00:03:18.416Z|2473deff337f069e|UNKNOWN|UNKNOWN|jffe@000|jffe@000/users/anonymous|C|TKN|{"added":{"owner":"jffe@000","created":"1624233798407","expirationTime":"1624234398407","subject":"jffe@000/users/anonymous","scope":"applied-permissions/user api:*","id":"b4a78436-21ed-4708-9a63-02c8ec2b6d98","type":"generic","username":"anonymous"}}
2021-06-21T00:03:18.420Z|1018d61148701d5f|UNKNOWN|UNKNOWN|jffe@000|jffe@000/users/anonymous|C|TKN|{"added":{"owner":"jffe@000","created":"1624233798418","expirationTime":"1624234398418","subject":"jffe@000/users/anonymous","scope":"applied-permissions/user api:*","id":"aef9cc2a-4c84-4a81-a537-fdf7034cca6c","type":"generic","username":"anonymous"}}
2021-06-21T00:03:18.444Z|14bd609344e789c|UNKNOWN|UNKNOWN|jffe@000|jffe@000/users/anonymous|C|TKN|{"added":{"owner":"jffe@000","created":"1624233798428","expirationTime":"1624234398429","subject":"jffe@000/users/anonymous","scope":"applied-permissions/user api:*","id":"6fadd400-1a0d-494f-ac6f-adb7d84283eb","type":"generic","username":"anonymous"}}
2021-06-21T00:03:26.566Z|54fe42c780d87641|UNKNOWN|UNKNOWN|jffe@000|jffe@000/users/maven|C|TKN|{"added":{"owner":"jffe@000","created":"1624233806561","expirationTime":"1624235606562","subject":"jffe@000/users/maven","scope":"applied-permissions/user","id":"cf339332-2c01-42e3-b907-365f67d4b5ab","type":"session","username":"maven"}}
2021-06-21T00:03:26.633Z|6dc5f1bcf0b83ab2|UNKNOWN|UNKNOWN|jffe@000|jffe@000/users/maven|C|TKN|{"added":{"owner":"jffe@000","created":"1624233806629","expirationTime":"1624234406630","subject":"jffe@000/users/maven","scope":"applied-permissions/user api:*","id":"5d1bec5e-81f4-437e-a214-1e89787d6f50","type":"generic","username":"maven"}}
2021-06-21T00:03:27.025Z|74552596e200c89d|UNKNOWN|UNKNOWN|jffe@000|jffe@000/users/maven|C|TKN|{"added":{"owner":"jffe@000","created":"1624233807020","expirationTime":"1624234407021","subject":"jffe@000/users/maven","scope":"applied-permissions/user","id":"6950ec78-3ae6-4896-85a9-749a559a74db","type":"generic","username":"maven"}}
2021-06-21T00:03:27.312Z|6b02ba56db8ab99c|UNKNOWN|UNKNOWN|jffe@000|jffe@000/users/maven|C|TKN|{"added":{"owner":"jffe@000","created":"1624233807310","expirationTime":"1624234407310","subject":"jffe@000/users/maven","scope":"applied-permissions/user","id":"cc370bcf-b684-46f9-9018-0608088663f3","type":"generic","username":"maven"}}
2021-06-21T00:03:53.222Z|7612571cb83aac49|UNKNOWN|UNKNOWN|jffe@000|jffe@000/users/maven|D|TKN|{"removed":{"owner":"jffe@000","created":"1624233806561","expirationTime":"1624235606562","subject":"jffe@000/users/maven","scope":"HASHED:69c537d45f36a316ac544a2b6271540eb3e94abefcdbeef93d300f9ccea7c38e","id":"cf339332-2c01-42e3-b907-365f67d4b5ab","type":"session","username":"maven"}}
2021-06-21T00:03:58.314Z|450fc625765fb682|UNKNOWN|UNKNOWN|jffe@000|jffe@000/users/admin|C|TKN|{"added":{"owner":"jffe@000","created":"1624233838311","expirationTime":"1624235638311","subject":"jffe@000/users/admin","scope":"applied-permissions/user","id":"7f4b30c9-3096-43ea-8158-54b31db45e54","type":"session","username":"admin"}}
2021-06-21T00:03:58.403Z|7c79088dd2e086c8|UNKNOWN|UNKNOWN|jffe@000|jffe@000/users/admin|C|TKN|{"added":{"owner":"jffe@000","created":"1624233838400","expirationTime":"1624234438400","subject":"jffe@000/users/admin","scope":"applied-permissions/user api:*","id":"3e64c13d-a069-4f68-9020-7141ebb20af9","type":"generic","username":"admin"}}
2021-06-21T00:03:58.403Z|e1b6c257051e8a6|UNKNOWN|UNKNOWN|jffe@000|jffe@000/users/admin|C|TKN|{"added":{"owner":"jffe@000","created":"1624233838400","expirationTime":"1624234438400","subject":"jffe@000/users/admin","scope":"applied-permissions/user api:*","id":"796fa70f-ad4b-41c8-af8d-a1e4f38e4844","type":"generic","username":"admin"}}
